ID,unbekannter Absender,Ansprache, Betreff, Verlinkungen, Anhang, Fremdsprache, LÃ¤nge, Fehlerquote, Spam
1,Nein,Name,Nein,Ja,Ja,Ja,450,0.02,Ja
2,Ja,anonym,Nein,Nein,Ja,Nein,600,0.01,Nein
3,Nein,Name,Ja,Ja,Nein,Nein,300,0.03,Ja
4,Ja,anonym,Nein,Nein,Ja,Ja,750,0.02,Ja
5,Ja,anonym,Nein,Ja,Nein,Ja,550,0.01,Nein
6,Nein,Name,Nein,Ja,Ja,Nein,400,0.02,Ja
7,Ja,anonym,Ja,Nein,Nein,Ja,680,0.01,Nein
8,Nein,Name,Nein,Nein,Nein,Nein,250,0.03,Ja
9,Ja,anonym,Ja,Ja,Ja,Nein,800,0.02,Ja
10,Nein,Name,Ja,Nein,Ja,Ja,520,0.01,Nein
11,Nein,Name,Ja,Ja,Nein,Nein,420,0.02,Ja
12,Ja,anonym,Nein,Nein,Ja,Ja,700,0.01,Nein
13,Nein,Name,Nein,Ja,Nein,Ja,480,0.03,Ja
14,Ja,anonym,Nein,Nein,Ja,Nein,620,0.02,Nein
15,Nein,Name,Ja,Ja,Ja,Nein,350,0.01,Ja
16,Nein,Name,Nein,Nein,Nein,Nein,200,0.03,Nein
17,Ja,anonym,Nein,Ja,Ja,Ja,770,0.02,Ja
18,Ja,anonym,Nein,Ja,Nein,Nein,530,0.01,Nein
19,Nein,Name,Nein,Nein,Ja,Ja,680,0.02,Ja
20,Ja,anonym,Ja,Nein,Nein,Ja,400,0.01,Nein
21,Nein,Name,Ja,Ja,Ja,Nein,480,0.03,Ja
22,Nein,Name,Nein,Nein,Ja,Ja,720,0.02,Nein
23,Ja,anonym,Nein,Ja,Nein,Nein,590,0.01,Nein
24,Nein,Name,Nein,Ja,Ja,Ja,420,0.02,Ja
25,Ja,anonym,Ja,Nein,Nein,Nein,650,0.01,Nein
26,Ja,anonym,Nein,Ja,Ja,Ja,800,0.03,Ja
27,Nein,Name,Ja,Nein,Nein,Nein,250,0.02,Nein
28,Nein,Name,Nein,Ja,Nein,Ja,480,0.01,Nein
29,Ja,anonym,Ja,Nein,Ja,Nein,530,0.02,Ja
30,Nein,Name,Nein,Ja,Nein,Ja,350,0.01,Nein
31,Nein,Name,Nein,Ja,Ja,Nein,400,0.03,Ja
32,Ja,anonym,Ja,Nein,Nein,Ja,600,0.02,Nein
33,Nein,Name,Nein,Ja,Nein,Nein,300,0.01,Nein
34,Ja,anonym,Nein,Nein,Ja,Ja,750,0.03,Ja
35,Nein,Name,Ja,Ja,Ja,Nein,450,0.02,Nein
36,Ja,anonym,Nein,Ja,Nein,Nein,580,0.01,Nein
37,Nein,Name,Nein,Nein,Ja,Ja,340,0.02,Ja
38,Nein,Name,Nein,Nein,Nein,Nein,180,0.01,Nein
39,Ja,anonym,Ja,Ja,Ja,Nein,720,0.02,Ja
40,Nein,Name,Ja,Nein,Nein,Ja,400,0.01,Nein
41,Ja,anonym,Nein,Ja,Ja,Nein,550,0.03,Ja
42,Nein,Name,Nein,Ja,Nein,Ja,300,0.02,Nein
43,Ja,anonym,Nein,Nein,Nein,Ja,670,0.01,Nein
44,Nein,Name,Ja,Ja,Ja,Nein,480,0.02,Ja
45,Nein,Name,Nein,Nein,Ja,Ja,710,0.01,Nein
46,Ja,anonym,Nein,Ja,Nein,Nein,590,0.02,Ja
47,Nein,Name,Nein,Nein,Ja,Ja,380,0.01,Nein
48,Ja,anonym,Ja,Nein,Ja,Nein,620,0.03,Ja
49,Nein,Name,Ja,Ja,Nein,Nein,320,0.02,Nein
50,Nein,Name,Nein,Nein,Nein,Nein,220,0.01,Nein
51,Ja,anonym,Nein,Ja,Ja,Ja,770,0.02,Ja
52,Ja,anonym,Nein,Ja,Nein,Nein,530,0.01,Nein
53,Nein,Name,Nein,Nein,Ja,Ja,680,0.02,Ja
54,Ja,anonym,Ja,Nein,Nein,Ja,400,0.01,Nein
55,Nein,Name,Ja,Ja,Ja,Nein,480,0.03,Ja
56,Nein,Name,Nein,Nein,Ja,Ja,720,0.02,Nein
57,Ja,anonym,Nein,Ja,Nein,Nein,590,0.01,Nein
58,Nein,Name,Nein,Ja,Ja,Ja,420,0.02,Ja
59,Ja,anonym,Ja,Nein,Nein,Nein,650,0.01,Nein
60,Ja,anonym,Nein,Ja,Ja,Ja,800,0.03,Ja
61,Nein,Name,Ja,Nein,Nein,Nein,250,0.02,Nein
62,Nein,Name,Nein,Ja,Nein,Ja,480,0.01,Nein
63,Ja,anonym,Ja,Nein,Ja,Nein,530,0.02,Ja
64,Nein,Name,Nein,Ja,Nein,Ja,350,0.01,Nein
65,Nein,Name,Nein,Ja,Ja,Nein,400,0.03,Ja
66,Ja,anonym,Ja,Nein,Nein,Ja,600,0.02,Nein
67,Nein,Name,Nein,Ja,Nein,Nein,300,0.01,Nein
68,Ja,anonym,Nein,Nein,Ja,Ja,750,0.03,Ja
69,Nein,Name,Ja,Ja,Ja,Nein,450,0.02,Nein
70,Ja,anonym,Nein,Ja,Nein,Nein,580,0.01,Nein
71,Nein,Name,Nein,Nein,Ja,Ja,340,0.02,Ja
72,Nein,Name,Nein,Nein,Nein,Nein,180,0.01,Nein
73,Ja,anonym,Ja,Ja,Ja,Nein,720,0.02,Ja
74,Nein,Name,Ja,Nein,Nein,Ja,400,0.01,Nein
75,Ja,anonym,Nein,Ja,Ja,Nein,550,0.03,Ja
76,Nein,Name,Nein,Ja,Nein,Ja,300,0.02,Nein
77,Ja,anonym,Nein,Nein,Nein,Ja,670,0.01,Nein
78,Nein,Name,Ja,Ja,Ja,Nein,480,0.02,Ja
79,Nein,Name,Nein,Nein,Ja,Ja,710,0.01,Nein
80,Ja,anonym,Nein,Ja,Nein,Nein,590,0.02,Ja
81,Nein,Name,Nein,Nein,Ja,Ja,380,0.01,Nein
82,Ja,anonym,Ja,Nein,Ja,Nein,620,0.03,Ja
83,Nein,Name,Ja,Ja,Nein,Nein,320,0.02,Nein
84,Nein,Name,Nein,Nein,Nein,Nein,220,0.01,Nein
85,Ja,anonym,Nein,Ja,Ja,Ja,770,0.02,Ja
86,Ja,anonym,Nein,Ja,Nein,Nein,530,0.01,Nein
87,Nein,Name,Nein,Nein,Ja,Ja,680,0.02,Ja
88,Ja,anonym,Ja,Nein,Nein,Ja,400,0.01,Nein
89,Nein,Name,Ja,Ja,Ja,Nein,480,0.03,Ja
90,Nein,Name,Nein,Nein,Ja,Ja,720,0.02,Nein
91,Ja,anonym,Nein,Ja,Nein,Nein,590,0.01,Nein
92,Nein,Name,Nein,Ja,Ja,Ja,420,0.02,Ja
93,Ja,anonym,Ja,Nein,Nein,Nein,650,0.01,Nein
94,Ja,anonym,Nein,Ja,Ja,Ja,800,0.03,Ja
95,Nein,Name,Ja,Nein,Nein,Nein,250,0.02,Nein
96,Nein,Name,Nein,Ja,Nein,Ja,480,0.01,Nein
97,Ja,anonym,Ja,Nein,Ja,Nein,530,0.02,Ja
98,Nein,Name,Nein,Ja,Nein,Ja,350,0.01,Nein
99,Nein,Name,Nein,Ja,Ja,Nein,400,0.03,Ja
100,Ja,anonym,Ja,Nein,Nein,Ja,600,0.02,Nein
101,Ja,anonym,Nein,Ja,Nein,Ja,390,0.02,Ja
102,Nein,Name,Ja,Nein,Ja,Nein,550,0.01,Nein
103,Ja,anonym,Nein,Ja,Ja,Ja,730,0.03,Ja
104,Nein,Name,Nein,Nein,Nein,Nein,290,0.02,Nein
105,Ja,anonym,Ja,Nein,Ja,Ja,480,0.01,Nein
106,Nein,Name,Ja,Ja,Ja,Nein,620,0.02,Ja
107,Ja,anonym,Nein,Nein,Ja,Nein,420,0.01,Nein
108,Nein,Name,Ja,Ja,Nein,Ja,660,0.02,Ja
109,Ja,anonym,Nein,Ja,Nein,Nein,510,0.01,Nein
110,Nein,Name,Nein,Nein,Ja,Ja,360,0.03,Ja
111,Nein,Name,Ja,Nein,Nein,Nein,250,0.02,Nein
112,Ja,anonym,Nein,Ja,Ja,Nein,510,0.01,Nein
113,Nein,Name,Ja,Ja,Ja,Ja,780,0.02,Ja
114,Ja,anonym,Nein,Nein,Nein,Ja,530,0.01,Nein
115,Nein,Name,Nein,Ja,Nein,Nein,680,0.02,Ja
116,Ja,anonym,Ja,Nein,Ja,Nein,400,0.01,Nein
117,Nein,Name,Ja,Ja,Ja,Ja,490,0.03,Ja
118,Ja,anonym,Nein,Nein,Nein,Ja,730,0.02,Nein
119,Nein,Name,Ja,Ja,Nein,Nein,300,0.01,Nein
120,Nein,Name,Ja,Ja,Ja,Nein,440,0.02,Ja
121,Ja,anonym,Nein,Nein,Nein,Ja,670,0.01,Nein
122,Nein,Name,Nein,Ja,Ja,Ja,300,0.02,Ja
123,Ja,anonym,Ja,Nein,Ja,Nein,520,0.01,Nein
124,Nein,Name,Nein,Nein,Ja,Ja,760,0.03,Ja
125,Nein,Name,Nein,Ja,Nein,Nein,530,0.02,Nein
126,Ja,anonym,Nein,Ja,Ja,Ja,790,0.01,Ja
127,Nein,Name,Ja,Nein,Nein,Nein,230,0.02,Nein
128,Nein,Name,Nein,Ja,Nein,Ja,470,0.01,Nein
129,Ja,anonym,Nein,Nein,Ja,Nein,580,0.02,Ja
130,Nein,Name,Nein,Ja,Nein,Ja,310,0.01,Nein
131,Nein,Name,Nein,Ja,Ja,Nein,360,0.03,Ja
132,Ja,anonym,Ja,Nein,Nein,Ja,610,0.02,Nein
133,Nein,Name,Nein,Ja,Nein,Nein,310,0.01,Nein
134,Ja,anonym,Nein,Nein,Ja,Ja,740,0.03,Ja
135,Nein,Name,Ja,Ja,Ja,Nein,470,0.02,Nein
136,Nein,Name,Nein,Nein,Ja,Ja,620,0.01,Nein
137,Ja,anonym,Ja,Nein,Nein,Ja,380,0.02,Ja
138,Nein,Name,Nein,Nein,Nein,Nein,170,0.01,Nein
139,Ja,anonym,Nein,Ja,Ja,Nein,710,0.02,Ja
140,Nein,Name,Ja,Nein,Nein,Ja,380,0.01,Nein
141,Ja,anonym,Nein,Ja,Ja,Ja,540,0.03,Ja
142,Nein,Name,Nein,Ja,Nein,Ja,290,0.02,Nein
143,Ja,anonym,Nein,Nein,Nein,Ja,640,0.01,Nein
144,Nein,Name,Ja,Ja,Ja,Nein,450,0.02,Ja
145,Nein,Name,Nein,Nein,Ja,Ja,690,0.01,Nein
146,Ja,anonym,Nein,Ja,Nein,Nein,560,0.02,Ja
147,Nein,Name,Nein,Nein,Ja,Ja,350,0.01,Nein
148,Ja,anonym,Ja,Nein,Ja,Nein,590,0.03,Ja
149,Nein,Name,Ja,Ja,Nein,Nein,310,0.02,Nein
150,Nein,Name,Nein,Nein,Nein,Nein,200,0.01,Nein
151,Ja,anonym,Nein,Ja,Ja,Ja,750,0.02,Ja
152,Ja,anonym,Nein,Ja,Nein,Nein,510,0.01,Nein
153,Nein,Name,Nein,Nein,Ja,Ja,660,0.02,Ja
154,Ja,anonym,Nein,Nein,Nein,Ja,510,0.01,Nein
155,Nein,Name,Ja,Ja,Ja,Nein,780,0.02,Ja
156,Ja,anonym,Nein,Nein,Nein,Ja,530,0.01,Nein
157,Nein,Name,Nein,Ja,Ja,Ja,680,0.02,Ja
158,Ja,anonym,Ja,Nein,Ja,Nein,400,0.01,Nein
159,Nein,Name,Ja,Ja,Ja,Ja,490,0.03,Ja
160,Ja,anonym,Nein,Nein,Nein,Ja,730,0.02,Nein
161,Nein,Name,Ja,Ja,Nein,Nein,300,0.01,Nein
162,Nein,Name,Ja,Ja,Ja,Nein,440,0.02,Ja
163,Ja,anonym,Nein,Nein,Nein,Ja,670,0.01,Nein
164,Nein,Name,Nein,Ja,Ja,Ja,300,0.02,Ja
165,Ja,anonym,Ja,Nein,Ja,Nein,520,0.01,Nein
166,Nein,Name,Nein,Nein,Ja,Ja,760,0.03,Ja
167,Nein,Name,Nein,Ja,Nein,Nein,530,0.02,Nein
168,Ja,anonym,Nein,Ja,Ja,Ja,790,0.01,Ja
169,Nein,Name,Ja,Nein,Nein,Nein,230,0.02,Nein
170,Nein,Name,Nein,Ja,Nein,Ja,470,0.01,Nein
171,Ja,anonym,Nein,Nein,Ja,Nein,580,0.02,Ja
172,Nein,Name,Nein,Ja,Nein,Ja,310,0.01,Nein
173,Nein,Name,Nein,Ja,Ja,Nein,360,0.03,Ja
174,Ja,anonym,Ja,Nein,Nein,Ja,610,0.02,Nein
175,Nein,Name,Nein,Ja,Nein,Nein,310,0.01,Nein
176,Ja,anonym,Nein,Nein,Ja,Ja,740,0.03,Ja
177,Nein,Name,Ja,Ja,Ja,Nein,470,0.02,Nein
178,Ja,anonym,Nein,Nein,Nein,Ja,730,0.01,Nein
179,Nein,Name,Ja,Ja,Nein,Nein,300,0.02,Nein
180,Nein,Name,Ja,Ja,Ja,Nein,440,0.01,Nein
181,Ja,anonym,Nein,Ja,Ja,Ja,540,0.03,Ja
182,Nein,Name,Nein,Nein,Ja,Ja,290,0.02,Nein
183,Ja,anonym,Nein,Ja,Ja,Nein,640,0.01,Nein
184,Nein,Name,Ja,Ja,Ja,Ja,450,0.02,Ja
185,Nein,Name,Nein,Nein,Ja,Ja,690,0.01,Nein
186,Ja,anonym,Nein,Ja,Nein,Nein,560,0.02,Ja
187,Nein,Name,Nein,Nein,Ja,Ja,350,0.01,Nein
188,Ja,anonym,Ja,Nein,Ja,Nein,590,0.03,Ja
189,Nein,Name,Ja,Ja,Nein,Nein,310,0.02,Nein
190,Nein,Name,Nein,Nein,Nein,Nein,200,0.01,Nein
191,Ja,anonym,Nein,Ja,Ja,Ja,750,0.02,Ja
192,Ja,anonym,Nein,Ja,Nein,Nein,510,0.01,Nein
193,Nein,Name,Nein,Nein,Ja,Ja,660,0.02,Ja
194,Ja,anonym,Nein,Nein,Nein,Ja,510,0.01,Nein
195,Nein,Name,Ja,Ja,Ja,Nein,780,0.02,Ja
196,Ja,anonym,Nein,Nein,Nein,Ja,530,0.01,Nein
197,Nein,Name,Nein,Ja,Ja,Ja,680,0.02,Ja
198,Ja,anonym,Ja,Nein,Ja,Nein,400,0.01,Nein
199,Nein,Name,Ja,Ja,Ja,Ja,490,0.03,Ja
200,Ja,anonym,Nein,Nein,Nein,Ja,730,0.02,Nein